Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"La Senora No Contenta","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109427635/la-senora-no-contenta,2.8,-1,Sport,5.11c,1,90,38.14336,-80.91556
Pedalante,"0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108903064/pedalante,1.5,-1,Sport,5.9+,1,60,38.14399,-80.92018
"Joli Goes to Zermont","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/110584558/joli-goes-to-zermont,2.1,-1,Sport,5.11b,1,80,38.14336,-80.91556
"Beer Pressure","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109422840/beer-pressure,2.9,-1,Sport,5.11d,1,100,38.14336,-80.91556
"Heavy Bigos Lover","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119957322/heavy-bigos-lover,2.6,-1,Sport,5.9,1,50,38.14295,-80.91755
"Dear Hunter","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112899034/dear-hunter,2.3,-1,Sport,5.11a,1,60,38.14336,-80.91556
"Italiano Vero","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119719469/italiano-vero,2.4,-1,Sport,5.10a,1,55,38.14336,-80.91556
"Funiek's Line","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112026609/funieks-line,2.7,-1,Sport,5.10b,1,60,38.14399,-80.92018
"Thrill in the Ville","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109053501/thrill-in-the-ville,2.3,-1,Sport,5.11a,1,80,38.14336,-80.91556
"Disko Polo","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117739700/disko-polo,2.2,-1,Sport,5.10a,1,60,38.14399,-80.92018
