Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Transistor Sister","3. The Grack Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118301329/transistor-sister,2.0,-1,"Trad, TR",5.10c,1,50,37.72993,-119.56355
"Spank Your Monkey","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108102254/spank-your-monkey,2.0,-1,Trad,"5.10b PG13",1,90,37.7165,-119.6363
"Post Tramatic Climbing Disorder","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107674667/post-tramatic-climbing-disorder,2.0,-1,Trad,5.10+,1,100,37.72639,-119.60144
"Strange Energy","2. Strange Energy Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119037136/strange-energy,2.0,-1,Trad,5.10a,1,50,37.72983,-119.56355
"Hoppy's Favorite","3. The Grack Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109750246/hoppys-favorite,2.0,-1,Trad,"5.10b R",5,600,37.72993,-119.56355
"Up the Down Staircase","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117855681/up-the-down-staircase,2.0,-1,Trad,5.10c,7,900,37.7165,-119.6363
"Call of the Yeti","O. Lost Brother > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111932150/call-of-the-yeti,2.0,-1,"Trad, Aid","5.8 A2+",9,1300,37.71775,-119.60944
"Steck Route","3. Higher Cathedral Spire > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120742608/steck-route,2.0,-1,Trad,5.10+,5,450,37.71404,-119.63226
"Flying High","Lower Cathedral Rock > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114985728/flying-high,2.0,-1,Trad,5.8,1,115,37.71843,-119.64659
"Reefer Cruise","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119140875/reefer-cruise,2.0,-1,Trad,5.11,1,,37.7165,-119.6363
"Above Tree Line","4. Goodrich Pinnacle Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120012681/above-tree-line,2.0,-1,Trad,5.10a,1,,37.7323,-119.56492
"Goodrich Pinnacle-Left Side","4. Goodrich Pinnacle Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105964134/goodrich-pinnacle-left-side,2.0,-1,Trad,5.9,5,,37.7323,-119.56492
"Retro Fit","4. Goodrich Pinnacle Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120012229/retro-fit,2.0,-1,Trad,5.9+,1,,37.7323,-119.56492
"Coffee Snob","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119292350/coffee-snob,2.0,-1,Trad,5.11b,1,130,37.7165,-119.6363
"Geek For A Week","Mecca > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113228389/geek-for-a-week,2.0,-1,Sport,5.11b,1,70,37.71932,-119.64339
"Into the Fire","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110466494/into-the-fire,2.0,-1,Trad,5.11b,2,250,37.72639,-119.60144
"The Sphinxter","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106616050/the-sphinxter,1.6,-1,Trad,5.9,1,100,37.72639,-119.60144
"Hoser's Highway (aka Hoosier’s Highway)","4. Goodrich Pinnacle Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120742376/hosers-highway-aka-hoosiers-highway,2.0,-1,Trad,"5.10c R",10,1000,37.7323,-119.56492
"Bunnell Point - The Golden Bear","C.  Little Yosemite Valley > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117131075/bunnell-point-the-golden-bear,2.0,-1,Trad,"5.10b R",18,2500,37.73646,-119.47882
"Stand And Deliver","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111721938/stand-and-deliver,2.0,-1,"Trad, TR",5.8,1,120,37.7165,-119.6363
"Bunnell Point - Northwest Face","C.  Little Yosemite Valley > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117131383/bunnell-point-northwest-face,2.0,-1,Trad,5.9,14,1400,37.73646,-119.47882
"The Pedestal","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111721947/the-pedestal,2.0,-1,"Trad, TR",5.8,1,120,37.7165,-119.6363
"Monkey Work","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/122498562/monkey-work,2.0,-1,Trad,"5.10- R",1,100,37.72639,-119.60144
"Oh No","F. Liberty Cap > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112907995/oh-no,2.0,-1,"Trad, Aid","5.10b A0",4,400,37.7275,-119.53364
"Voodoo Child","E. Mount Broderick > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110475297/voodoo-child,2.0,-1,"Trad, Aid","5.8 C2",4,400,37.73344,-119.53489
"Plane Fare","H. Illilouette Canyon > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/115330249/plane-fare,2.0,-1,Trad,5.10b,1,110,37.71815,-119.55817
"Southeast Face","3. Higher Cathedral Spire > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110302451/southeast-face,2.0,-1,Trad,5.10,4,450,37.71404,-119.63226
