Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bone Home","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752224/bone-home,1.8,-1,Sport,5.10+,1,,39.97313,-105.46275
"Rain Dance","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119307077/rain-dance,2.6,-1,Sport,5.10d,1,50,39.9726,-105.4648
"Yin Pin (aka Stonefish)","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951451/yin-pin-aka-stonefish,2.7,-1,Sport,5.10d,1,80,39.9726,-105.4648
"Warm Up","Overhung Wall > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106066531/warm-up,1.9,-1,Sport,5.11,1,40,39.9726,-105.4648
"Dyno Monkey","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748864/dyno-monkey,1.7,-1,"Sport, TR",5.11c,1,,39.97313,-105.46275
"Leave it to Beaver","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106555935/leave-it-to-beaver,2.0,-1,Sport,5.11c/d,1,50,39.97207,-105.46336
"Stone Soup","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951349/stone-soup,2.3,-1,Trad,5.9+,1,55,39.9726,-105.4648
Jaws,"Recovery Room > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751861/jaws,1.5,-1,Sport,5.11a/b,1,,39.9726,-105.4648
"Gruel Shoes","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951461/gruel-shoes,2.3,-1,Sport,5.9-,1,65,39.9726,-105.4648
"Hee Haw","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868187/hee-haw,1.6,-1,Sport,5.11-,1,45,39.97207,-105.46336
"Ride the Wind","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107305751/ride-the-wind,2.0,-1,Sport,5.10d,1,50,39.9726,-105.4648
"Welcome Wagon","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751660/welcome-wagon,0.9,-1,Sport,5.10,1,,39.97313,-105.46275
"Reach for the Sky... Cafe","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951440/reach-for-the-sky-cafe,2.0,-1,Trad,5.10d,1,80,39.9726,-105.4648
"Ultra-Violet Parr","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119552421/ultra-violet-parr,2.0,-1,Trad,5.10b,1,60,39.97207,-105.46336
"The Appetizer","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121347606/the-appetizer,2.0,-1,Sport,5.10d,1,30,39.9726,-105.4648
"Wind Song","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121339125/wind-song,2.0,-1,Sport,5.11c/d,1,50,39.9726,-105.4648
"Coffee Pot Crack","Recovery Room > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748873/coffee-pot-crack,1.4,-1,Sport,5.10+,1,,39.9726,-105.4648
"North Crack","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107524446/north-crack,1.5,-1,Trad,5.8,1,70,39.97304,-105.46352
"Beaver Fever","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753559/beaver-fever,1.6,-1,Sport,5.11d,1,,39.97207,-105.46336
"Northwest Passage","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/112287805/northwest-passage,1.7,-1,Trad,5.8,1,40,39.97304,-105.46352
"Bar Room Ranger Fight","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121332038/bar-room-ranger-fight,1.7,-1,Sport,5.11c,1,,39.9726,-105.4648
"Absolute Boulder Canyon","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751666/absolute-boulder-canyon,1.1,-1,Sport,5.11-,1,,39.97313,-105.46275
Stryker,"Recovery Room > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868220/stryker,1.0,-1,"Sport, TR",5.10a,1,25,39.9726,-105.4648
