Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Gimpy Grimpeur","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/120044620/gimpy-grimpeur,2.4,-1,Trad,5.8,1,80,38.15323,-80.93233
"The Hand Out","5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106494900/the-hand-out,2.4,-1,Sport,5.11b,1,50,38.15655,-80.93978
"SPI Hole","1 Tan Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/121511143/spi-hole,2.5,-1,Trad,5.8,1,50,38.15273,-80.92798
"Off My Rocker","4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107706830/off-my-rocker,2.5,-1,"Trad, Sport",5.11a,1,50,38.15369,-80.93558
"Home Schooled","4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107706815/home-schooled,2.4,-1,Trad,5.9,1,80,38.15369,-80.93558
Bulgarian,"5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107773476/bulgarian,2.4,-1,Trad,5.9,1,50,38.15655,-80.93978
"Weaver's Bottom","5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114266878/weavers-bottom,1.7,-1,Sport,5.10c,1,60,38.15655,-80.93978
Ziggerknot,"3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107129436/ziggerknot,2.3,-1,Trad,5.10c,1,70,38.15303,-80.93231
Jugnasium,"4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114290719/jugnasium,2.5,-1,Trad,5.8,2,80,38.15369,-80.93558
Unknown,"5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106494893/unknown,2.5,-1,Sport,5.11c,1,50,38.15655,-80.93978
[Redacted],"2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114496329/redacted,2.0,-1,Trad,"5.7 PG13",1,80,38.15323,-80.93233
"Country Love","5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107458195/country-love,1.7,-1,Sport,5.10c/d,1,40,38.15655,-80.93978
Opulence,"5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109252384/opulence,2.3,-1,Trad,5.9,1,80,38.15655,-80.93978
"Campground Vanlifer Trustafarians","1 Tan Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107511187/campground-vanlifer-trustafarians,1.8,-1,Sport,5.10a,1,40,38.15273,-80.92798
"Wasted Wimper","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112021859/wasted-wimper,1.9,-1,Trad,5.10b,1,60,38.15323,-80.93233
"Turtle Power","5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108173093/turtle-power,2.0,-1,Trad,5.9,1,50,38.15655,-80.93978
"Join the Circus","3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/123104595/join-the-circus,2.0,-1,Sport,5.11a,1,60,38.15303,-80.93231
