Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Talk About It","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105993742/talk-about-it,2.2,-1,Sport,5.10b/c,1,50,38.2418,-80.84524
"Moon Pie Deluxe","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105997974/moon-pie-deluxe,2.1,-1,Sport,5.10d,1,80,38.2422,-80.83949
"Do it","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106288348/do-it,2.1,-1,Sport,5.11a,1,25,38.2418,-80.84524
"Indian Summer","Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386696/indian-summer,3.8,-1,Trad,5.11a,1,50,38.2427,-80.8485
"Ragged Reaction","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107202336/ragged-reaction,2.4,-1,Sport,5.9,1,30,38.24137,-80.84379
"Minimum Overdrive","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107181873/minimum-overdrive,2.4,-1,Sport,5.11a,1,60,38.24137,-80.84379
"All Ears","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106289180/all-ears,2.1,-1,Sport,5.10b,1,45,38.2418,-80.84524
"Useless Beauty","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107298505/useless-beauty,2.6,-1,Sport,5.10a/b,1,60,38.24161,-80.8422
"Scoot Your Muffin","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106493778/scoot-your-muffin,2.3,-1,Sport,5.10b,1,80,38.2422,-80.83949
"No Way, Jose'","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106271005/no-way-jose,2.8,-1,Sport,5.11b,1,50,38.24137,-80.84379
"Armed and Dangerous","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113794770/armed-and-dangerous,2.3,-1,Sport,5.10b,1,,38.2418,-80.84524
